Data;Wydatki budżetu państwa;Bezrobotni zarejestrowani;Przeciętna miesięczna nominalna emerytura i renta;Mieszkania oddane do użytkowania 
I 2000;12038,60;2476,10;847,59;5796,00
II 2000;24992,20;2525,80;849,92;6199,00
III 2000;37877,10;2531,70;851,97;5977,00
IV 2000;49737,20;2487,90;850,93;5360,00
V 2000;61809,20;2445,40;851,25;5955,00
VI 2000;74894,40;2437,40;889,43;4991,00
VII 2000;86109,90;2477,60;890,62;6463,00
VIII 2000;99173,80;2496,20;891,28;7147,00
IX 2000;111922,60;2528,80;895,59;6882,00
X 2000;125951,50;2547,70;897,16;8442,00
XI 2000;137856,00;2613,10;896,13;9086,00
XII 2000;151054,90;2702,60;894,08;15491,00
I 2001;16683,40;2835,60;896,81;9496,00
II 2001;32941,40;2876,90;898,69;7815,00
III 2001;46615,60;2898,70;904,73;8444,00
IV 2001;60792,30;2878,00;901,22;8095,00
V 2001;73027,20;2841,10;901,66;7064,00
VI 2001;86535,20;2849,20;1017,37;6702,00
VII 2001;98279,30;2871,50;1019,44;8848,00
VIII 2001;111262,50;2892,60;1019,92;7962,00
IX 2001;124640,50;2920,40;1025,04;7437,00
X 2001;140259,50;2944,30;1028,06;9068,00
XI 2001;155470,00;3022,40;1025,65;10309,00
XII 2001;172885,20;3115,10;1024,32;14727,00
I 2002;17213,50;3253,30;1028,21;8355,00
II 2002;34665,60;3277,90;1029,67;7501,00
III 2002;47712,10;3259,90;1031,91;6007,00
IV 2002;63284,10;3203,60;1032,62;7709,00
V 2002;76522,50;3064,60;1032,92;6013,00
VI 2002;90033,50;3090,90;1039,12;7209,00
VII 2002;105429,90;3105,30;1042,04;5975,00
VIII 2002;119209,50;3105,60;1041,66;6904,00
IX 2002;133538,90;3108,10;1047,89;6878,00
X 2002;151577,40;3108,10;1050,78;11023,00
XI 2002;167546,70;3150,80;1048,07;9273,00
XII 2002;182922,40;3217,00;1047,29;14748,00
I 2003;15704,30;3320,60;1048,98;9607,00
II 2003;33891,40;3344,20;1052,39;9554,00
III 2003;48827,00;3321,00;1092,28;8492,00
IV 2003;64429,00;3246,10;1093,98;9573,00
V 2003;79927,90;3159,60;1095,13;10524,00
VI 2003;95721,70;3134,60;1096,84;18585,00
VII 2003;112168,70;3123,00;1098,32;43492,00
VIII 2003;125857,40;3099,10;1097,54;6458,00
IX 2003;142383,10;3073,30;1105,90;8174,00
X 2003;158173,60;3058,20;1109,21;9548,00
XI 2003;172805,20;3096,90;1107,52;9214,00
XII 2003;189153,60;3175,70;1110,47;19465,00
I 2004;16216,40;3293,20;1113,46;11187,00
II 2004;32303,10;3294,50;1116,91;7557,00
III 2004;47815,00;3265,80;1140,10;9492,00
IV 2004;61824,50;3173,80;1138,87;8337,00
V 2004;77142,50;3092,50;1139,39;7054,00
VI 2004;94488,40;3071,20;1141,52;6602,00
VII 2004;109591,70;3042,40;1142,32;7474,00
VIII 2004;125438,10;3005,70;1142,10;7191,00
IX 2004;141948,50;2970,90;1148,81;7138,00
X 2004;158204,10;2938,20;1150,79;9534,00
XI 2004;176001,50;2942,60;1152,83;9612,00
XII 2004;197698,30;2999,60;1163,89;16939,00
I 2005;18264,90;3094,90;1149,12;11971,00
II 2005;37471,60;3094,50;1153,70;7561,00
III 2005;53954,00;3052,60;1177,51;6968,00
IV 2005;69646,30;2957,80;1166,88;8926,00
V 2005;87689,50;2867,30;1168,70;7287,00
VI 2005;104942,30;2827,40;1171,08;6718,00
VII 2005;119160,20;2809,00;1171,62;8838,00
VIII 2005;135783,50;2783,30;1171,99;9594,00
IX 2005;150822,80;2760,10;1179,04;9519,00
X 2005;169520,70;2712,10;1180,48;10095,00
XI 2005;186693,80;2722,80;1180,45;10048,00
XII 2005;208132,90;2773,00;1178,30;16541,00
I 2006;18819,90;2866,70;1184,21;10192,00
II 2006;38748,10;2865,90;1187,11;8754,00
III 2006;56060,50;2822,00;1267,95;9338,00
IV 2006;73424,10;2703,60;1268,60;7319,00
V 2006;92641,30;2583,00;1271,47;6603,00
VI 2006;110004,80;2487,60;1273,31;8155,00
VII 2006;125471,10;2443,40;1273,60;9545,00
VIII 2006;142723,00;2411,60;1274,56;8508,00
